Ana Teresa Martins,UFC,59/1719
Carlos Ferreira,USP,46/263
Carlos Olarte,UFRN,o/CarlosOlarte
Celina de Figueiredo,UFRJ,09/5415
Cid Carvalho de Souza,UNICAMP,42/819
Claudia Linhares Sales,UFC,08/5881
Claudson Bornstein,UFRJ,93/6594
Cristina Fernandes,USP,58/4840
Edson Caceres,UFMS,c/EdsonCaceres
Eduardo Candido Xavier,UNICAMP,00/4728
Eduardo Sany Laber,PUC-Rio,49/5557
Edward Hermann Haeusler,PUC-Rio,93/6371
Elaine Pimentel,UFRN,53/5809
Fabio Protti,IC/UFF,61/2851
Fabricio Siqueira Benevides,UFC,28/7614
Flavio Keidi Miyazawa,UNICAMP,m/FlavioKeidiMiyazawa
Gerson Zaverucha,UFRJ,53/3165
Jayme Szwarcfiter,UFRJ,74/1053
Jorge Stolfi,UNICAMP,20/5139
Jose Ferreira de Rezende,UNICAMP,r/JoseFerreiradeRezende
Julio Cesar Silva Araujo,UFC,21/8045
Leonardo Sampaio Rocha,UECE,153/4515
Loana Tito Nogueira,UFF,79/4445
Luciana Buriol,UFRGS,b/LucianaSBuriol
Luis Lamb,UFRGS,/l/LCLamb
Luiz Satoru Ochi,UFF,o/LuizSatoruOchi
Manoel Bezerra Campelo Neto,UFC,65/3124
Manoel Campelo,UFC,65/3124
Marcia Rosana Cerioli,UFRJ,05/4738
Marco Molinaro,PUC-Rio,88/4732
Mario Benevides,UFRJ,29/5198
Mitre Costa Dourado,UFRJ,51/4736
Orlando Lee,UNICAMP,24/3858
Ricardo Dahab,UNICAMP,79/6780
Rosiane de Freitas,UFAM,47/7842
Rudini Menezes Sampaio,UFC,39/1114
Ruy Queiroz,UFPE,q/RuyQueiroz
Sebastian Alberto Urrutia,UFMG,u/SebastianUrrutia
Simone Dantas de Souza,UFF,84/5767
Sulamita Klein,UFRJ,79/3504
Vinicius Santos,UFMG,60/9133
Yoshiharu Kohayakawa,USP,48/5131
Yoshiko Wakabayashi,USP,49/4632
